year,source_report,source_page,reconstruction_formula,icr_ifrs16,icr_frozen_gaap,leverage_ifrs16,leverage_frozen_gaap,covenant_impact_icr,covenant_impact_lev,ifrs16_analysis_state,frozen_gaap_analysis_state,breach_ifrs16,breach_frozen_gaap
2019,2019 URD,pp. 145-152 (Lease Obligations Note 5.2),lease_liability = disclosed lease obligation discounted at weighted-average rate; lease_expense = rent category from P&L,2.661290322580645,4.973684210526316,6.666666666666667,3.0303030303030303,-2.312393887945671,3.6363636363636367,ok,ok,True,False
2020,2020 URD,pp. 178-185 (Lease Obligations Note 5.2),lease_liability = disclosed lease obligation discounted at weighted-average rate (IFRS-16 transition complete); lease_expense = rent category,,,,,,,negative_ebitda_failure,negative_ebitda_failure,True,True
2021,2021 URD,pp. 156-163 (Lease Obligations Note 5.2),lease_liability = disclosed lease obligation discounted at weighted-average rate; lease_expense = rent category from P&L,1.2255892255892256,2.7942857142857145,16.895604395604394,8.516483516483516,-1.568696488696489,8.379120879120878,ok,ok,True,True
2022,2022 URD,pp. 188-195 (Lease Obligations Note 5.2),lease_liability = disclosed lease obligation discounted at weighted-average rate; lease_expense = rent category from P&L,2.36013986013986,4.6647058823529415,8.444444444444445,4.148148148148148,-2.3045660222130815,4.296296296296297,ok,ok,True,True
2023,2023 URD,pp. 210-217 (Lease Obligations Note 5.2),lease_liability = disclosed lease obligation discounted at weighted-average rate; lease_expense = rent category from P&L,3.6079136690647484,6.625,5.284147557328016,2.542372881355932,-3.0170863309352516,2.7417746759720836,ok,ok,True,False
