threshold,train_balanced_accuracy,selected
0.0,0.5,False
0.000581714935215774,0.5,False
0.0005828657877734438,0.5034013605442177,False
0.0005854738998809258,0.5068027210884354,False
0.0006196402062569152,0.5102040816326531,False
0.0006537579435579756,0.5136054421768708,False
0.0006681109958619766,0.5170068027210885,False
0.0007255727745001612,0.5204081632653061,False
0.0007420041397238581,0.5238095238095238,False
0.000752732901638733,0.5272108843537415,False
0.0007551890238524696,0.5306122448979592,False
0.0007960068171121395,0.5340136054421769,False
0.0008199958426150043,0.5374149659863946,False
0.0008431652931994825,0.5408163265306123,False
0.000905905563171348,0.54421768707483,False
0.0009328342562661715,0.5476190476190477,False
0.0009663493151846019,0.5510204081632653,False
0.0010166731373493444,0.5544217687074829,False
0.001060912957173933,0.5578231292517006,False
0.0011302723348422126,0.5612244897959183,False
0.0011337271069479923,0.564625850340136,False
0.0011408729140871315,0.5680272108843537,False
0.001158598298485464,0.5714285714285714,False
0.0011990263354735217,0.5748299319727891,False
0.0012036108798107082,0.5782312925170068,False
0.001275079894350802,0.5816326530612245,False
0.0013321088523397888,0.5850340136054422,False
0.0013590187233051933,0.5884353741496599,False
0.00136012759484447,0.5918367346938775,False
0.0013688554247432679,0.5952380952380952,False
0.0013992842195519623,0.5986394557823129,False
0.0014059231884402297,0.6020408163265306,False
0.0014210763247590572,0.6054421768707483,False
0.0014409601374239407,0.608843537414966,False
0.001443764019421866,0.6122448979591837,False
0.0014472701125844993,0.6156462585034014,False
0.0014553191716286224,0.6190476190476191,False
0.001459749101249235,0.6224489795918368,False
0.0014714588922233286,0.6258503401360545,False
0.0015274700662867306,0.6292517006802721,False
0.0015399745441014381,0.6326530612244898,False
0.0015464102253410076,0.6360544217687075,False
0.0015544239606816673,0.6394557823129252,False
0.0015550462597905827,0.6428571428571428,False
0.001561332868553179,0.6462585034013606,False
0.0015771285797233218,0.6496598639455782,False
0.0016309626643840117,0.653061224489796,False
0.001641880450344725,0.6564625850340136,False
0.0016516113838139612,0.6598639455782314,False
0.0016853224992110273,0.6632653061224489,False
0.0017306429143973327,0.6666666666666666,False
0.0017757884962138492,0.6700680272108843,False
0.0017866144368779762,0.673469387755102,False
0.001921932904220801,0.6768707482993197,False
0.0019311851182351042,0.6802721088435374,False
0.0019481723844186655,0.6836734693877551,False
0.002043570805144205,0.6870748299319728,False
0.0021548885573855737,0.6904761904761905,False
0.002365661516290641,0.6938775510204082,False
0.002586709348403278,0.6972789115646258,False
0.002635786253912793,0.7006802721088435,False
0.0027133013558998517,0.7040816326530612,False
0.0027278161632642637,0.7074829931972789,False
0.0027767485165483387,0.7108843537414966,False
0.003051449878679099,0.7142857142857143,False
0.0033437689254616366,0.717687074829932,False
0.0038927047495612857,0.7210884353741497,False
0.004100407109640322,0.7244897959183674,False
0.00432638550841382,0.7278911564625851,False
0.004515444090367142,0.7312925170068028,False
0.004654914227417265,0.7346938775510204,False
0.004906515326435497,0.7380952380952381,False
0.00543278623347745,0.7414965986394557,False
0.005481250276432848,0.7448979591836735,False
0.005584546177306047,0.7482993197278911,False
0.005675336332661735,0.7517006802721089,False
0.005683284418752815,0.7551020408163265,False
0.005736273282752356,0.7585034013605443,False
0.005756129194143613,0.7619047619047619,False
0.0058084710840802965,0.7653061224489797,False
0.005938089271558342,0.7687074829931972,False
0.006271468837745342,0.772108843537415,False
0.0066609037078309286,0.7755102040816326,False
0.007075696533964696,0.7789115646258503,False
0.007397063627666468,0.782312925170068,False
0.00746852867728145,0.7857142857142857,False
0.007617251811087755,0.7891156462585034,False
0.00764117809581584,0.7925170068027211,False
0.007783951293785479,0.7959183673469388,False
0.007830123090296561,0.7993197278911565,False
0.007842674863531233,0.8027210884353742,False
0.007856080690586794,0.8061224489795918,False
0.00793918712890856,0.8095238095238095,False
0.00797089687118629,0.8129251700680272,False
0.008198699550673736,0.8163265306122449,False
0.008493961971184811,0.8197278911564626,False
0.008551444603254679,0.8231292517006803,False
0.008680371768596262,0.8265306122448979,False
0.008722222732976627,0.8299319727891157,False
0.008756914110741995,0.8333333333333333,False
0.008935957697175426,0.8367346938775511,False
0.009076673279166203,0.8401360544217686,False
0.009427976016591878,0.8435374149659864,False
0.00967805410948959,0.846938775510204,False
0.009883724237352818,0.8136054421768708,False
0.010982195303830117,0.8170068027210884,False
0.011282341434967855,0.8204081632653062,False
0.011437937033020835,0.8238095238095238,False
0.01169262102220131,0.8272108843537416,False
0.012966253228301215,0.8306122448979592,False
0.014095275620528659,0.834013605442177,False
0.014382303250176818,0.8374149659863945,False
0.014927555859185095,0.8408163265306123,False
0.016720929008337083,0.8442176870748299,False
0.018521365521330824,0.8476190476190476,False
0.019659441186096634,0.8510204081632653,False
0.020351047754205577,0.854421768707483,False
0.02055106915097807,0.8578231292517007,False
0.02134265599414254,0.8612244897959184,False
0.021463624772810608,0.8646258503401361,False
0.02202426606702107,0.8680272108843538,False
0.022468803402583743,0.8714285714285714,False
0.022520543084287987,0.8748299319727891,False
0.023739281200068005,0.8782312925170068,False
0.025101408027196803,0.8816326530612245,False
0.02535239724754244,0.8850340136054422,False
0.02630814198319808,0.8884353741496599,False
0.027557055476249606,0.8918367346938776,False
